# calls=1446 tests=485 exit=0
tests/test_adjudication.py::test_approve_flips_truth_with_lineage_and_receipts	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_approve_flips_truth_with_lineage_and_receipts	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_approve_flips_truth_with_lineage_and_receipts	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_approve_flips_truth_with_lineage_and_receipts	n=1 raw=False -> (2, 1, 0, 0)
tests/test_adjudication.py::test_coherence_incident_lifecycle_transitions	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_coherence_incident_lifecycle_transitions	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_coherence_incident_lifecycle_transitions	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_coherence_incident_lifecycle_transitions	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_coherence_incident_without_hold_resolves_directly	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_disambiguation_request_resolves_with_evidence	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_disambiguation_request_resolves_with_evidence	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_disambiguation_request_resolves_with_evidence	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_disambiguation_request_resolves_with_evidence	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (2, 1, 0, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (1, 0, 1, 0)
tests/test_adjudication.py::test_pending_reviews_list_both_park_flavors_deterministically	n=1 raw=False -> (2, 1, 0, 0)
tests/test_adjudication.py::test_reject_keeps_incumbent_and_clears_pending	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_reject_keeps_incumbent_and_clears_pending	n=1 raw=False -> (2, 1, 0, 0)
tests/test_adjudication.py::test_resolve_review_fail_fast	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adjudication.py::test_resolve_review_fail_fast	n=1 raw=False -> (2, 1, 0, 0)
tests/test_adoption.py::test_post_compact_hook_derives_summary_from_transcript	n=1 raw=True -> (3, 1, 0, 0)
tests/test_adoption.py::test_post_compact_hook_persists_only_sanitized_continuity	n=1 raw=True -> (3, 1, 0, 0)
tests/test_adoption.py::test_post_compact_hook_survives_missing_summary_and_transcript	n=1 raw=True -> (3, 1, 0, 0)
tests/test_adoption.py::test_pre_compact_hook_captures_dying_context	n=1 raw=True -> (3, 1, 0, 0)
tests/test_adoption.py::test_project_mode_switch_changes_durable_memory_owner	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adoption.py::test_project_mode_switch_changes_durable_memory_owner	n=1 raw=True -> (3, 1, 0, 0)
tests/test_adoption.py::test_project_mode_switch_changes_durable_memory_owner	n=1 raw=False -> (3, 1, 0, 0)
tests/test_adoption.py::test_session_end_hook_flushes_final_checkpoint	n=1 raw=True -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_agent_memory_log_refresh_and_evolution	n=4 raw=True -> (6, 4, 0, 1)
tests/test_agent_memory.py::test_agent_memory_mcp_wrappers_use_shared_platform	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_agent_memory_mcp_wrappers_use_shared_platform	n=2 raw=True -> (4, 2, 0, 0)
tests/test_agent_memory.py::test_agent_memory_mcp_wrappers_use_shared_platform	n=1 raw=True -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_agent_memory_start_search_remember_and_authorization	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_agent_memory_start_search_remember_and_authorization	n=1 raw=True -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_agent_memory_start_search_remember_and_authorization	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_memory_search_reports_archived_memory_and_memory_restore_revives_it[default]	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_memory_search_reports_archived_memory_and_memory_restore_revives_it[default]	n=1 raw=False -> (2, 1, 0, 0)
tests/test_agent_memory.py::test_memory_search_reports_archived_memory_and_memory_restore_revives_it[pure_read]	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_memory_search_reports_archived_memory_and_memory_restore_revives_it[pure_read]	n=1 raw=False -> (2, 1, 0, 0)
tests/test_agent_memory.py::test_platform_memory_set_visibility_agent_plane_enforcement	n=1 raw=False -> (3, 1, 0, 0)
tests/test_agent_memory.py::test_project_memory_policy_is_versioned_persistent_and_gates_types	n=1 raw=True -> (3, 1, 0, 0)
tests/test_behavior_contract.py::test_generated_output_is_evidence_only_and_cannot_form_a_directive	n=0 raw=True -> (1, 0, 0, 0)
tests/test_behavior_contract.py::test_resolved_behavior_contract_uses_native_authority_and_bounds_prior_outputs	n=1 raw=False -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=2 raw=True -> (5, 2, 0, 0)
tests/test_benchmark_evidence.py::test_hermetic_benchmark_scores_hold_the_committed_floors	n=1 raw=True -> (3, 1, 0, 0)
